DATA;SPEI_1;SPEI_2;SPEI_3;SPEI_4;SPEI_5;SPEI_6;SPEI_7;SPEI_8;SPEI_9;SPEI_10;SPEI_11;SPEI_12;SPEI_13;SPEI_14;SPEI_15;SPEI_16;SPEI_17;SPEI_18;SPEI_19;SPEI_20;SPEI_21;SPEI_22;SPEI_23;SPEI_24;SPEI_25;SPEI_26;SPEI_27;SPEI_28;SPEI_29;SPEI_30;SPEI_31;SPEI_32;SPEI_33;SPEI_34;SPEI_35;SPEI_36;SPEI_37;SPEI_38;SPEI_39;SPEI_40;SPEI_41;SPEI_42;SPEI_43;SPEI_44;SPEI_45;SPEI_46;SPEI_47;SPEI_48
Sep1959;-0.1832;0.23376;0.10357;0.15717;0.16592;0.06164;0.3976;0.2433;0.59454;0.78977;0.7401;0.79443;0.88464;0.90826;0.91394;0.8716;0.89607;0.95911;0.94381;0.91016;0.85181;0.82758;0.83906;0.75005;0.92096;0.97222;1.07446;1.08913;1.04982;1.08567;1.00425;1.06017;1.06816;1.03181;1.02807;1.03492;1.02428;1.05314;1.10407;1.14017;1.21991;1.31186;1.28583;1.2604;1.26052;1.29015;1.21489;1.19275
Oct1959;-0.0078;-0.1303;0.11983;0.01937;0.06033;0.10223;0.04982;0.31908;0.20032;0.53602;0.73651;0.69277;0.74595;0.8347;0.85891;0.8653;0.82602;0.85209;0.91656;0.90811;0.87728;0.81762;0.79579;0.80902;0.72129;0.89179;0.94343;1.04711;1.06342;1.02452;1.06152;0.98183;1.03887;1.04777;1.01409;1.01214;1.01947;1.00886;1.03744;1.08852;1.12581;1.20677;1.29968;1.27352;1.24911;1.25096;1.28138;1.20758
Nov1959;0.3094;0.23485;0.10614;0.2941;0.20438;0.21875;0.25071;0.20495;0.39936;0.3009;0.57432;0.75251;0.71936;0.77074;0.85579;0.87706;0.88137;0.8447;0.8698;0.92538;0.91876;0.89015;0.8306;0.80768;0.81699;0.73426;0.89982;0.9501;1.05183;1.06826;1.02934;1.06577;0.98821;1.04287;1.0535;1.01672;1.01228;1.01894;1.00768;1.03486;1.08485;1.12064;1.19887;1.28951;1.26588;1.24193;1.24628;1.27337
Dec1959;-0.30436;-0.05536;-0.04333;-0.12839;0.03331;-0.03172;-0.0097;0.02524;0.01954;0.21805;0.14551;0.42371;0.60361;0.58061;0.64005;0.72227;0.74484;0.75281;0.72034;0.75167;0.8154;0.81077;0.78702;0.73759;0.71521;0.73258;0.65331;0.81396;0.86385;0.96609;0.98387;0.94702;0.98422;0.90957;0.96757;0.97933;0.94716;0.94924;0.95574;0.94434;0.97097;1.02055;1.0571;1.13743;1.22822;1.2037;1.1826;1.18564
Jan1960;0.23251;-0.00548;0.12297;0.11717;0.03504;0.17124;0.10354;0.12585;0.15413;0.15688;0.32304;0.25415;0.48967;0.65169;0.6339;0.68062;0.75606;0.77563;0.77983;0.74992;0.77448;0.8272;0.83072;0.80531;0.7522;0.72923;0.74467;0.67264;0.82437;0.87268;0.9724;0.99125;0.95349;0.98816;0.91275;0.96417;0.97456;0.93973;0.9389;0.94609;0.93593;0.9623;1.01105;1.0444;1.1213;1.20941;1.18728;1.17026
Feb1960;0.53849;0.48242;0.28265;0.35245;0.32157;0.23404;0.35167;0.27916;0.29296;0.30773;0.31683;0.45166;0.39018;0.59519;0.74384;0.73327;0.77136;0.84364;0.86147;0.86044;0.82984;0.84846;0.8928;0.89601;0.86922;0.81341;0.79241;0.80434;0.73569;0.88295;0.9293;1.02474;1.04245;1.0041;1.03712;0.96219;1.0098;1.01827;0.98048;0.97644;0.9839;0.9738;1.00039;1.04749;1.07831;1.15159;1.23736;1.21726
Mar1960;-0.12839;0.32663;0.35301;0.22009;0.29364;0.2767;0.20223;0.31346;0.24695;0.26089;0.27608;0.29059;0.41803;0.35904;0.55784;0.71192;0.70446;0.74161;0.81172;0.82982;0.83028;0.7992;0.81668;0.85877;0.86292;0.83648;0.77894;0.76351;0.77469;0.70832;0.85244;0.8984;0.99396;1.01303;0.97508;1.00814;0.93218;0.97916;0.98732;0.95057;0.94365;0.9514;0.9439;0.97117;1.01977;1.05228;1.1265;1.21323
Apr1960;0.32797;0.12548;0.42028;0.4374;0.29387;0.35595;0.32103;0.25116;0.35429;0.29033;0.29989;0.30926;0.31937;0.43937;0.37988;0.57088;0.71596;0.71156;0.74553;0.81298;0.83018;0.82897;0.79794;0.81279;0.85395;0.85961;0.8344;0.77938;0.76265;0.77428;0.70934;0.85127;0.89642;0.98852;1.00771;0.97054;1.00424;0.92928;0.97704;0.98479;0.94901;0.94493;0.95342;0.9459;0.97264;1.0192;1.05058;1.12267
May1960;0.54917;0.46028;0.31687;0.53097;0.52951;0.38596;0.4342;0.394;0.32499;0.4173;0.3537;0.36041;0.36555;0.37251;0.4829;0.42419;0.60196;0.74101;0.73596;0.76755;0.83358;0.85005;0.84638;0.81575;0.82916;0.86892;0.87528;0.8477;0.79393;0.77432;0.78443;0.72065;0.86181;0.90732;0.99797;1.01722;0.9797;1.01331;0.93994;0.98653;0.99419;0.95835;0.95446;0.96151;0.95333;0.97973;1.02504;1.0553
Jun1960;0.42673;0.62865;0.52443;0.38453;0.57283;0.56845;0.4277;0.47328;0.43054;0.3618;0.44722;0.38723;0.39347;0.39574;0.39795;0.50659;0.44643;0.62217;0.7566;0.7487;0.7792;0.84402;0.86082;0.85734;0.82715;0.84017;0.87949;0.88535;0.85678;0.80453;0.78581;0.79566;0.73263;0.87102;0.91511;1.00451;1.02349;0.98722;1.02082;0.94809;0.99499;1.00292;0.96787;0.96437;0.97166;0.96346;0.98961;1.03432
Jul1960;0.23183;0.36479;0.61239;0.53557;0.40014;0.58215;0.58526;0.44178;0.48819;0.44494;0.37536;0.45497;0.39892;0.40411;0.40439;0.39999;0.50774;0.44634;0.61817;0.74777;0.73816;0.76945;0.83318;0.84889;0.84717;0.81858;0.8323;0.87193;0.87803;0.84978;0.79855;0.77976;0.78978;0.72744;0.86404;0.90781;0.99818;1.01695;0.98048;1.01429;0.94298;0.99009;0.9985;0.96448;0.96154;0.96972;0.96211;0.9887
Aug1960;0.90676;0.73976;0.74255;0.82421;0.73;0.59874;0.74265;0.7363;0.58306;0.61923;0.573;0.50057;0.57193;0.51188;0.51283;0.50583;0.49469;0.59708;0.53391;0.69784;0.82074;0.80992;0.83858;0.89807;0.91227;0.90804;0.87911;0.89042;0.92627;0.93158;0.90295;0.8527;0.83269;0.84138;0.78008;0.91341;0.9554;1.0417;1.0582;1.02164;1.05377;0.98372;1.03017;1.03792;1.00327;1.00157;1.00866;1.001
Sep1960;-0.31545;0.26193;0.28029;0.34147;0.51148;0.5069;0.42692;0.58935;0.61461;0.47347;0.51885;0.48105;0.41142;0.48298;0.42782;0.43162;0.43091;0.42488;0.52858;0.46972;0.63442;0.75807;0.74856;0.77781;0.83613;0.85053;0.84843;0.82128;0.83415;0.87131;0.8766;0.84955;0.79989;0.78168;0.79186;0.73159;0.86384;0.90539;0.99252;1.01001;0.9752;1.00936;0.93985;0.98743;0.99581;0.96252;0.96157;0.96902
Oct1960;0.65613;0.29312;0.59323;0.56788;0.60394;0.68719;0.65594;0.57299;0.72304;0.73629;0.59834;0.63674;0.59533;0.53081;0.59518;0.53927;0.53971;0.53309;0.52132;0.61825;0.5606;0.71217;0.82903;0.81834;0.84631;0.90184;0.91549;0.91163;0.88335;0.8939;0.92702;0.93255;0.90642;0.85656;0.83809;0.8479;0.79023;0.91914;0.9601;1.04477;1.06179;1.02572;1.05841;0.99124;1.03788;1.04654;1.01308;1.01411
Nov1960;0.40299;0.6564;0.42694;0.65407;0.65078;0.68557;0.72514;0.70814;0.63631;0.752;0.75471;0.63435;0.66737;0.63516;0.57551;0.63626;0.58028;0.5782;0.57249;0.56934;0.65663;0.60426;0.73727;0.84869;0.84491;0.86994;0.92276;0.93611;0.93062;0.90237;0.91217;0.94184;0.94804;0.92444;0.87495;0.85574;0.8656;0.81128;0.93576;0.97496;1.05582;1.07222;1.03511;1.06698;1.00372;1.04676;1.05735;1.02365
Dec1960;-0.00733;0.26821;0.49424;0.3261;0.53058;0.53513;0.56907;0.61548;0.61424;0.5568;0.67128;0.68525;0.58425;0.61906;0.59729;0.5425;0.60321;0.55094;0.55044;0.54673;0.5491;0.6351;0.58327;0.70934;0.82122;0.81856;0.84148;0.8933;0.90654;0.90195;0.87506;0.88331;0.91323;0.91851;0.89773;0.84957;0.83098;0.8408;0.7871;0.90928;0.94789;1.0276;1.0449;1.00963;1.04153;0.97933;1.02235;1.03311
